skill_type,name,alias_name,localized_name,base_value,S_A,B_C,D_E_F,G,affinity_role,is_evo,evo_parents
ius,Guten Appetit ♪,Guten Appetit♪,Guten Appetit ♪,180.0,,,,,,0,
ius,Have S’more LOVE!,,,180.0,198.0,162.0,144.0,126.0,Pace,0,
ius,Hephaistos,,,180.0,,,,,,0,
ius,HOP STEP♪LOCK ON!,,,180.0,,,,,,0,
ius,YUMMY☆SPEED!,I’M☆FULL☆SPEED!!,YUMMY☆SPEED!,180.0,,,,,,0,
ius,Illuminate You,Illuminate you,,180.0,,,,,,0,
ius,『I'm Possible』,『I’m possible』,,180.0,,,,,,0,
ius,Immortal Work,,,180.0,,,,,,0,
ius,I Never Goof Up!,,I Never Goof Up!,180.0,,,,,,0,
ius,Info: Acquired,Info:Acquired,,180.0,,,,,,0,
ius,Into High Gear!,,,180.0,,,,,,0,
ius,Jingle All the Way,jingle all the way,,180.0,,,,,,0,
ius,Joy to the World,,,180.0,,,,,,0,
ius,Joyful Voyage!,,Joyful Voyage!,180.0,,,,,,0,
ius,KEEP IT REAL.,,KEEP IT REAL.,180.0,,,,,,0,
ius,Lame de Vent,Lame de vent,,180.0,,,,,,0,
ius,#LookatCurren,LookatCurren,#LookatCurren,180.0,,,,,,0,
ius,Mission: Triumph,Mission:Triumph,,180.0,,,,,,0,
ius,Nemesis,,Nemesis,180.0,,,,,,0,
ius,Never Say Never,,,180.0,,,,,,0,
ius,Oh!bento-magic☆,,,180.0,,,,,,0,
ius,One True Color,,One True Color,180.0,,,,,,0,
ius,Overdrive Speed,,,180.0,,,,,,0,
ius,Peerless Heroine,,,180.0,,,,,Turf,0,
ius,Presents from X,,Presents from X,180.0,,,,,,0,
ius,Prideful King,Pride of KING,Prideful King,180.0,,,,,,0,
ius,Punkish Bite,,,180.0,198.0,162.0,144.0,126.0,Front/Pace,0,
ius,Queen's Lumination,Queen’s Lumination,,180.0,,,,,,0,
ius,Queen's Rebirth,Queen’s Rebirth,,180.0,,,,,Turf,0,
ius,Ravissant,,Ravissant,180.0,,,,,,0,
ius,Reversal Illusion,,,180.0,,,,,,0,
ius,Road to Glory,,,180.0,,,,,,0,
ius,Romantic Horizon,,,180.0,,,,,,0,
ius,Schwarze Schwert,,,180.0,,,,,,0,
ius,Shadow Break,,Shadow Break,180.0,,,,,,0,
ius,Shining Runway,,,180.0,,,,,,0,
ius,Silent Letter,Silent letter,,180.0,,,,,,0,
ius,Silent Sunset Gold,,,180.0,,,,,,0,
ius,Spooky-Scary-Happy,,,180.0,,,,,,0,
ius,Tidebreaker,,,180.0,198.0,162.0,144.0,126.0,Long,0,
ius,To Our Vista,,,180.0,,,,,,0,
ius,trigger:BEAT,,trigger:BEAT,180.0,,,,,,0,
ius,U=ma2,,U=ma2,180.0,,,,,,0,
gold,VIP Pass,VIP顔パス,VIP Pass,508.0,559.0,457.0,406.0,356.0,Long,0,
ius,Vive la GOLD,,,180.0,,,,,,0,
ius,Weaving History,,,180.0,198.0,162.0,144.0,126.0,Pace,0,
ius,win Q.E.D,,,180.0,,,,,,0,
ius,Pop & Polish,YEAH☆VIVID TIME!,Pop & Polish,180.0,,,,,,0,
ius,Melt in Love's Embrace,愛と熔けよただ熔けよ,,180.0,,,,,,0,
gold,Summer Gale,青嵐,,461.0,,,,,,0,
ius,Clear Sky Cooking♪,あおぞらクッキング♪,,180.0,,,,,,0,
yellow,Ignited Spirit WIT,アオハル点火・賢,Ignited Spirit WIT,263.0,,,,,,0,
yellow,Ignited Spirit GUTS,アオハル点火・根,Ignited Spirit GUTS,263.0,,,,,,0,
yellow,Ignited Spirit SPD,アオハル点火・速,Ignited Spirit SPD,263.0,,,,,,0,
blue,Ignited Spirit STA,アオハル点火・体,Ignited Spirit STA,263.0,,,,,,0,
yellow,Ignited Spirit PWR,アオハル点火・力,Ignited Spirit PWR,263.0,,,,,,0,
gold,Burning Spirit WIT,アオハル燃焼・賢,Burning Spirit WIT,633.0,,,,,,0,
gold,Burning Spirit GUTS,アオハル燃焼・根,Burning Spirit GUTS,633.0,,,,,,0,
gold,Burning Spirit SPD,アオハル燃焼・速,Burning Spirit SPD,633.0,,,,,,0,
gold,Burning Spirit STA,アオハル燃焼・体,Burning Spirit STA,633.0,,,,,,0,
gold,Burning Spirit PWR,アオハル燃焼・力,Burning Spirit PWR,633.0,,,,,,0,
ius,Flag of Dawn: Katsuragi Ace,暁の御旗『葛城栄主』！,,180.0,,,,,,0,
gold,It's On!,アガッてきた！,It's On!,508.0,,,,,,0,
yellow,Promising Omen,明るい兆し,,217.0,,,,,Dirt,0,
green,Fall Runner ○,秋ウマ娘○,Fall Runner ○,129.0,,,,,,0,
green,Fall Runner ◎,秋ウマ娘◎,Fall Runner ◎,174.0,,,,,,0,
yellow,Acceleration,アクセラレーション,Acceleration,217.0,239.0,195.0,174.0,152.0,Mile,0,
gold,Step on the Gas!,アクセル全開！,Step on the Gas!,508.0,559.0,457.0,406.0,356.0,Mile,0,
yellow,Aggressive,アグレッシブ,,217.0,239.0,195.0,174.0,152.0,Pace,0,
ius,Everybody Put Your Hands Up!,アゲてアゲてぷちょへんざ！,,180.0,,,,,,0,
ius,Ambition to Surpass the Sakura,憧れは桜を越える！,Ambition to Surpass the Sakura,180.0,,,,,,0,
yellow,憧れを超えて,,,217.0,263.0,176.0,139.0,106.0,Medium/Pace,0,
yellow,Foothold,足がかり,,217.0,239.0,195.0,174.0,152.0,Medium,0,
yellow,Footloose,足任せ,,217.0,239.0,195.0,174.0,152.0,Mile,0,
yellow,Playtime's Over!,遊びはおしまいっ！,Playtime's Over!,217.0,,,,,,0,
gold,Petrifying Gaze,熱いまなざし,Petrifying Gaze,508.0,559.0,457.0,406.0,356.0,End,0,
gold,Staggering Lead,圧倒的リード,Staggering Lead,508.0,559.0,457.0,406.0,356.0,Sprint,0,
red,Pressing Feeling,圧迫感,,217.0,,,,,Dirt,0,
ius,Lavish Feast,あっぱれ大盤振る舞い！,,180.0,,,,,,0,
ius,Ad Astra,アド・アストラ,,180.0,,,,,,0,
yellow,Fearless Advance,後先恐れず,,217.0,239.0,195.0,174.0,152.0,Mile,0,
ius,Latte Art For You,あなたに捧げるフリーポア,,180.0,,,,,,0,
ius,Chasing After You,アナタヲ・オイカケテ,Chasing After You,180.0,,,,,,0,
gold,Big-Sisterly,姉御肌,Big-Sisterly,334.0,367.0,301.0,267.0,234.0,Mile,0,
green,Overflowing Vitality,あふれる活力,,217.0,239.0,195.0,174.0,152.0,Medium/Long,0,
yellow,Overflowing Passion,溢れる情熱,,217.0,239.0,195.0,174.0,152.0,Late,0,
yellow,Approach,アプローチ,,217.0,,,,,Dirt,0,
green,Rainy Days ○,雨の日○,Rainy Days ○,129.0,,,,,,0,
green,Rainy Days ◎,雨の日◎,Rainy Days ◎,174.0,,,,,,0,
yellow,American Dream,アメリカンドリーム,,263.0,,,,,,0,
yellow,Risky Business,あやしげな作戦,Risky Business,129.0,,,,,,0,
gold,Forger of Legends,新たな伝説を築く者,,633.0,,,,,,0,
gold,Wild Wind,荒ぶる旋風,Wild Wind,508.0,559.0,457.0,406.0,356.0,Medium,0,
yellow,All I've Got,ありったけ,All I've Got,217.0,239.0,195.0,174.0,152.0,Medium,0,
yellow,Be Myself,あるがままに,,263.0,289.0,237.0,210.0,184.0,Medium/Long,0,
ius,Angling and Scheming,アングリング×スキーミング,Angling and Scheming,180.0,,,,,,0,
gold,Unstoppable,アンストッパブル,,508.0,559.0,457.0,406.0,356.0,Pace,0,
gold,In the Right Place!,いいとこ入った！,,508.0,,,,,,0,
blue,Moxie,勢い任せ,Moxie,217.0,239.0,195.0,174.0,152.0,Front,0,
yellow,Full of Zeal,意気込み十分,,217.0,,,,,Dirt,0,
gold,In High Spirits,意気衝天,In High Spirits,508.0,559.0,457.0,406.0,356.0,Sprint,0,
yellow,Ignition,イグニッション,,217.0,239.0,195.0,174.0,152.0,Medium,0,
yellow,Stubborn,意地っ張り,,217.0,239.0,195.0,174.0,152.0,Pace,0,
yellow,Fast-Paced,急ぎ足,Fast-Paced,217.0,239.0,195.0,174.0,152.0,Front,0,
ius,Victory belongs to me—Strelitzia! ☆,いただき☆ストレリチア！,Victory belongs to me—Strelitzia! ☆,180.0,,,,,,0,
yellow,Aim for the Summit,頂を目指して,,217.0,263.0,176.0,139.0,106.0,Medium/Late,0,
gold,Single-Minded,一意専心,,508.0,615.0,411.0,325.0,249.0,Long/Pace,0,
ius,"A Lifelong Dream, A Moment's Flight",一期の夢、刹那の飛翔,"A Lifelong Dream, A Moment's Flight",180.0,,,,,,0,
gold,Rushing Gale!,一陣の風,Rushing Gale!,508.0,,,,,,0,
yellow,Position Pilfer,位置取り押し上げ,Position Pilfer,217.0,239.0,195.0,174.0,152.0,Late,0,
yellow,Early Bird,一番乗り,,217.0,239.0,195.0,174.0,152.0,Medium,0,
gold,Radiant Star,一番星,Radiant Star,633.0,,,,,,0,
gold,Clean Sweep,一網打尽,,508.0,615.0,411.0,325.0,249.0,Long/End,0,
gold,In One Fell Swoop,一気呵成,,508.0,615.0,411.0,325.0,249.0,Long/Late,0,
gold,Undivided Focus,一心不乱,,508.0,559.0,457.0,406.0,356.0,End,0,
gold,一世一代,,,508.0,615.0,411.0,325.0,249.0,Long/Late,0,
yellow,Mighty Leap,一足飛び,,217.0,239.0,195.0,174.0,152.0,Sprint/Mile,0,
gold,Tension and Release,一張一弛,,508.0,559.0,457.0,406.0,356.0,Medium,0,
gold,Laser-Focused,一点集中,,508.0,615.0,411.0,325.0,249.0,Long/Pace,0,
ius,Have Your Fill!,いっぱいおあげんしぇ！,,180.0,,,,,,0,
gold,One-shot,一発必中,,508.0,559.0,457.0,406.0,356.0,Long,0,
green,Lone Wolf,一匹狼,Lone Wolf,129.0,,,,,,0,
yellow,From the First Step,一歩から,,217.0,239.0,195.0,174.0,152.0,Late,0,
yellow,Forward Step by Step,一歩ずつ前へ,,217.0,,,,,,0,
yellow,Forever Healthy,いつまでも健やかに,,263.0,289.0,237.0,210.0,184.0,Sprint/Mile,0,
gold,Chilling Wind,凍て風,,461.0,,,,,,0,
yellow,Thunderbolt Step,イナズマステップ,Thunderbolt Step,174.0,191.0,157.0,139.0,122.0,Medium,0,
gold,Initiative,イニシアチブ,,508.0,615.0,411.0,325.0,249.0,Sprint/Front,0,
ius,Bountiful Harvest,禾スナハチ登ル,Bountiful Harvest,180.0,,,,,,0,
gold,Innovation,イノベーション,,508.0,,,,,Dirt,0,
gold,Dignified,威風堂々,,508.0,559.0,457.0,406.0,356.0,Late,0,
ius,Dreams Donned with Pride!,威風堂々、夢錦！,Dreams Donned with Pride!,180.0,,,,,,0,
gold,インスピレーション,,,508.0,559.0,457.0,406.0,356.0,Late,0,
ius,Vivace Volare,ヴィヴァーチェ・ヴォラーレ,,180.0,,,,,,0,
ius,Shooting for Victory!,ヴィクトリーショット！,Shooting for Victory!,180.0,,,,,,0,
ius,This Dance Is for Vittoria!,ヴィットーリアに捧ぐ舞踏,This Dance Is for Vittoria!,180.0,,,,,,0,
ius,Strike and Strengthen,打ち、鍛えて,,180.0,,,,,,0,
yellow,Beast Within,内なる獣,,217.0,263.0,176.0,139.0,106.0,Medium/Late,0,
yellow,Inside Scoop,内弁慶,Inside Scoop,217.0,239.0,195.0,174.0,152.0,Long,0,
green,Inner Post Proficiency ○,内枠得意○,Inner Post Proficiency ○,129.0,,,,,,0,
green,Inner Post Proficiency ◎,内枠得意◎,Inner Post Proficiency ◎,174.0,,,,,,0,
yellow,Uma Stan,ウマ好み,Uma Stan,217.0,,,,,,0,
blue,Calm in a Crowd,ウマ込み冷静,Calm in a Crowd,217.0,,,,,,0,
gold,Superstan,ウママニア,Superstan,508.0,,,,,,0,
yellow,Blessing of the Ocean,海の加護,,263.0,,,,,,0,
yellow,Contradicting Emotions,裏腹なキモチ,,217.0,,,,,Dirt,0,
ius,Lovely Spring Breeze,麗しき花信風,Lovely Spring Breeze,180.0,,,,,,0,
gold,Cloud Dragon's Metamorphosis,雲蒸竜変,,508.0,559.0,457.0,406.0,356.0,Mile/Medium,0,
ius,Wager on the Holy Night Stars,運否、聖夜の星に賭ける,,180.0,198.0,162.0,144.0,126.0,Medium/Long,0,
ius,Allegro of Valor,鋭気のアレグロ,,180.0,,,,,,0,
gold,Incisive Flash,鋭脚一閃,,508.0,559.0,457.0,406.0,356.0,Late,0,
gold,Incisive Slash,鋭脚円刃,,508.0,559.0,457.0,406.0,356.0,Late,0,
gold,Gallant Figure,英姿颯爽,,508.0,615.0,411.0,325.0,249.0,Medium/Front,0,
gold,Breaking Free,影従打破,,508.0,559.0,457.0,406.0,356.0,Pace,0,
gold,Unpredecented Prodigy,英俊豪傑,,633.0,,,,,,0,
blue,Hydrate,栄養補給,Hydrate,217.0,239.0,195.0,174.0,152.0,Pace,0,
gold,Energetic,エネルギッシュ,,633.0,,,,,,0,
gold,Swinging Maestro,円弧のマエストロ,Swinging Maestro,508.0,,,,,,0,
ius,Engine Ignition!,エンジン点火！,,180.0,,,,,,0,
ius,"Engine, Full Throttle! Turbo Time!",エンジン全開！大噴射！,,180.0,,,,,,0,
ius,Naginata Maiden's Dance,演舞・撫子大薙刀,,180.0,,,,,,0,
yellow,Pressure,追い上げ,Pressure,217.0,239.0,195.0,174.0,152.0,Long,0,
yellow,Riding the Tailwind,追い風に乗って,,217.0,263.0,176.0,139.0,106.0,Medium/Front,0,
red,Flustered End Closers,追込焦り,Flustered End Closers,217.0,,,,,,0,
red,Frenzied End Closers,追込駆け引き,Frenzied End Closers,174.0,,,,,,0,
red,Subdued End Closers,追込けん制,Subdued End Closers,217.0,,,,,,0,
yellow,End Closer Corners ○,追込コーナー○,End Closer Corners ○,217.0,239.0,195.0,174.0,152.0,End,0,
yellow,End Closer Corners ◎,追込コーナー◎,End Closer Corners ◎,262.0,288.0,236.0,210.0,183.0,End,0,
red,Hesitant End Closers,追込ためらい,Hesitant End Closers,217.0,,,,,,0,
yellow,End Closer Straightaways ○,追込直線○,End Closer Straightaways ○,217.0,239.0,195.0,174.0,152.0,End,0,
yellow,End Closer Straightaways ◎,追込直線◎,End Closer Straightaways ◎,262.0,288.0,236.0,210.0,183.0,End,0,
green,End Closer Savvy ○,追込のコツ○,End Closer Savvy ○,174.0,191.0,157.0,139.0,122.0,End,0,
green,End Closer Savvy ◎,追込のコツ◎,End Closer Savvy ◎,217.0,239.0,195.0,174.0,152.0,End,0,
ius,Secret Technique: Everlasting Summer!!,奥義・常夏バーニング！！,,180.0,,,,,,0,
ius,In Search of Gold,黄金を訪ねて,,180.0,198.0,162.0,144.0,126.0,Late/End,0,
gold,Check,王手,,508.0,559.0,457.0,406.0,356.0,Pace/Late,0,
gold,Just Rule,王道一途,,508.0,559.0,457.0,406.0,356.0,Medium,0,
yellow,Great Haste,大急ぎ,,217.0,263.0,176.0,139.0,106.0,Long/Late,0,
green,Oi Racecourse ○,大井レース場○,Oi Racecourse ○,129.0,,,,,,0,
green,Oi Racecourse ◎,大井レース場◎,Oi Racecourse ◎,174.0,,,,,,0,
yellow,Huge Lead,大きなリード,Huge Lead,262.0,288.0,236.0,210.0,183.0,Sprint,0,
yellow,Finale,大詰め,,217.0,263.0,176.0,139.0,106.0,Long/Front,0,
gold,Runaway,大逃げ,Runaway,370.0,407.0,333.0,296.0,259.0,Front,0,
ius,Extra Large First Bite!,大盛り！ファーストバイト！,,180.0,,,,,,0,
yellow,Unwavering Heart,臆せぬ心,,217.0,239.0,195.0,174.0,152.0,Long,0,
gold,See Ya Later!,お先に失礼っ！,See Ya Later!,508.0,,,,,,0,
yellow,Final Push,押し切り準備,Final Push,217.0,239.0,195.0,174.0,152.0,Front,0,
yellow,Pushing Through!,押し通る！,,217.0,239.0,195.0,174.0,152.0,Late,0,
yellow,Committed Push,押しの一手,,217.0,239.0,195.0,174.0,152.0,Front/Pace,0,
yellow,No Reluctance,惜しみなし,,217.0,239.0,195.0,174.0,152.0,End,0,
yellow,Fearless,恐れぬ心,Fearless,217.0,239.0,195.0,174.0,152.0,Late,0,
yellow,Believe in Yourself,己を信じて,,217.0,239.0,195.0,174.0,152.0,Pace,0,
green,Maverick ○,おひとり様○,Maverick ○,129.0,,,,,,0,
green,Maverick ◎,おひとり様◎,Maverick ◎,174.0,,,,,,0,
ius,Operation Cacao,オペレーション・Cacao,Operation Cacao,180.0,,,,,,0,
yellow,I Can See Right Through You,お見通し,I Can See Right Through You,85.0,94.0,77.0,68.0,59.0,End,0,
yellow,Take the Plunge,思い切り,,217.0,263.0,176.0,139.0,106.0,Long/Pace,0,
yellow,Unquenched Longing,想い焦がれて,,263.0,289.0,237.0,210.0,184.0,Mile/Medium,0,
ius,Because I Believe,念い、信ずればこそ,,180.0,198.0,162.0,144.0,126.0,Pace,0,
yellow,Bearer of Hope,想いを背負って,,263.0,,,,,,0,
yellow,Unbreakable Mind,折れない心,,217.0,,,,,,0,
gold,Blooming,開花,,508.0,559.0,457.0,406.0,356.0,Pace,0,
gold,Steady Advance,快進撃,,508.0,615.0,411.0,325.0,249.0,Medium/Pace,0,
yellow,Satisfying Pace,会心の一歩,,217.0,239.0,195.0,174.0,152.0,Pace/Late,0,
ius,Now We're Cruisin'!,快走かな、快走かな！,Now We're Cruisin'!,180.0,,,,,,0,
yellow,Rapid,快速,,263.0,,,,,,0,
gold,Gordian Cut,快刀乱麻,,508.0,615.0,411.0,325.0,249.0,Long/Pace,0,
ius,Invigorating Strength,快なる剛力,,180.0,,,,,,0,
gold,Monster,怪物,,508.0,615.0,411.0,325.0,249.0,Long/Pace,0,
yellow,Glimpse of Light,垣間見た光,,217.0,263.0,176.0,139.0,106.0,Medium/End,0,
ius,Eternal Encompassing Shine,晦冥を照らせ永遠の耀き,Eternal Encompassing Shine,180.0,,,,,,0,
ius,Raise Thy Soul's Sword!,掲げよ、己が魂の剣を！,,180.0,,,,,,0,
ius,Shine ☆ Tomakomai,かがやけ☆とまこまい,,180.0,,,,,,0,
yellow,Firm Resolve,覚悟を決めて,,217.0,263.0,176.0,139.0,106.0,Long/Front,0,
red,Disorient,かく乱,Disorient,85.0,94.0,77.0,68.0,59.0,Pace,0,
blue,Lay Low,隠れ蓑,Lay Low,217.0,,,,,,0,
yellow,Feature Act,影打,Feature Act,217.0,239.0,195.0,174.0,152.0,Long,0,
yellow,Descent,駆け降り,,217.0,239.0,195.0,174.0,152.0,Late,0,
yellow,Shadowstepper,影踏み,,217.0,239.0,195.0,174.0,152.0,End,0,
ius,"Arrows Whistle, Shadows Disperse",翳り退く、さざめきの矢,"Arrows Whistle, Shadows Disperse",180.0,,,,,,0,
gold,Heat Haze,陽炎,,508.0,559.0,457.0,406.0,356.0,Late,0,
yellow,Chasing the Shadow,影を追って,,217.0,239.0,195.0,174.0,152.0,End,0,
yellow,Wind Vane,風切り,,217.0,239.0,195.0,174.0,152.0,Mile,0,
gold,Adrenaline Rush,火事場のバ鹿力,Adrenaline Rush,508.0,559.0,457.0,406.0,356.0,Long,0,
gold,Wind Rider,風翔,,508.0,559.0,457.0,406.0,356.0,Mile,0,
ius,A Spring in My Step,風光る,,180.0,,,,,,0,
yellow,Mold Breaker,型破り,,217.0,239.0,195.0,174.0,152.0,Medium/Long,0,
ius,Victory Cheer!,勝ち鬨ワッショイ！,Victory Cheer!,180.0,,,,,,0,
ius,Bravo ☆ Wonder Doll!,喝采☆ワンダードール！,,180.0,,,,,,0,
ius,Cut and Drive!,カッティング×DRIVE！,Cut and Drive!,180.0,,,,,,0,
gold,Send It Flying!,かっとばせ！,,508.0,559.0,457.0,406.0,356.0,Pace,0,
yellow,Find a Way!,活路を拓く！,,217.0,239.0,195.0,174.0,152.0,Medium/Long,0,
ius,"Moving Past, and Beyond",彼方、その先へ…,"Moving Past, and Beyond",180.0,,,,,,0,
ius,Merrymaking Song and Dance,歌舞歓楽や、ああをかし,,180.0,,,,,,0,
gold,Miraculous Step,神業ステップ,Miraculous Step,508.0,559.0,457.0,406.0,356.0,Medium,0,
yellow,Devil-May-Care,がむしゃら,,217.0,263.0,176.0,139.0,106.0,Long/Late,0,
gold,Finishing Touch,画竜点睛,,508.0,615.0,411.0,325.0,249.0,Long/Front,0,
yellow,Light as a Feather,軽い足取り,Light as a Feather,217.0,239.0,195.0,174.0,152.0,Sprint,0,
ius,"Driven by Light, the Heavenly Wolf Hunts",駆るは光、狩るは星々,,180.0,,,,,,0,
yellow,Gorgeous Step,華麗な足取り,,217.0,239.0,195.0,174.0,152.0,Medium,0,
blue,Soft Step,軽やかステップ,Soft Step,217.0,239.0,195.0,174.0,152.0,Medium,0,
green,Kawasaki Racetrack ○,川崎レース場○,,129.0,,,,,,0,
green,Kawasaki Racetrack ◎,川崎レース場◎,,174.0,,,,,,0,
yellow,Exploit the Gap,間隙を突いて,,217.0,263.0,176.0,139.0,106.0,Medium/Late,0,
gold,Complete Combustion,完全燃焼,,508.0,559.0,457.0,406.0,356.0,End,0,
yellow,Fighter,がんばり屋,Fighter,217.0,239.0,195.0,174.0,152.0,Late,0,
yellow,Pumped,気合十分,Pumped,217.0,239.0,195.0,174.0,152.0,Mile,0,
yellow,Shifting Gears,ギアシフト,Shifting Gears,217.0,239.0,195.0,174.0,152.0,Mile,0,
gold,Changing Gears,ギアチェンジ,Changing Gears,508.0,559.0,457.0,406.0,356.0,Mile,0,
gold,Burning Soul,気炎万丈,Burning Soul,508.0,559.0,457.0,406.0,356.0,Medium,0,
yellow,Ghastly,鬼気迫って,,217.0,263.0,176.0,139.0,106.0,Medium/End,0,
yellow,Dodging Danger,危険回避,Dodging Danger,129.0,142.0,116.0,103.0,90.0,Front,0,
ius,The Duty of Dignity Calls,貴顕の使命を果たすべく,The Duty of Dignity Calls,180.0,,,,,,0,
gold,Technician,技巧派,Technician,334.0,367.0,301.0,267.0,234.0,Pace,0,
gold,Unyielding Tenacity,気骨稜稜,,508.0,559.0,457.0,406.0,356.0,Sprint,0,
gold,From the Brink,起死回生,From the Brink,508.0,559.0,457.0,406.0,356.0,Medium,0,
gold,Illusionist,奇術師,Illusionist,334.0,367.0,301.0,267.0,234.0,Long,0,
yellow,Resolute Stance,気丈な姿勢,,217.0,263.0,176.0,139.0,106.0,Mile/Pace,0,
gold,Stout-Hearted,気丈夫,,508.0,559.0,457.0,406.0,356.0,Medium/Long,0,
ius,"Miracle, Hopes, Melody",きせき・おもい・かなで,,180.0,,,,,,0,
gold,Battle for Initiative,機先の勝負,,508.0,,,,,,0,
ius,Just a Little Farther!,きっとその先へ…！,Just a Little Farther!,180.0,,,,,,0,
yellow,Free-Spirited,気の向くままに,,217.0,263.0,176.0,139.0,106.0,Long/Front,0,
yellow,With All My Soul,気迫を込めて,With All My Soul,217.0,239.0,195.0,174.0,152.0,Medium,0,
ius,I See Victory in My Future!,来ます来てます来させます！,I See Victory in My Future!,180.0,,,,,,0,
yellow,Carefree Step,気ままな足取り,,217.0,239.0,195.0,174.0,152.0,Medium,0,
gold,I Want to Win With You,キミと勝ちたい,,633.0,,,,,,0,
yellow,With Feelings Aboard,気持ちを乗せて,,217.0,,,,,,0,
ius,Sky-High Teio Step,究極テイオーステップ,Sky-High Teio Step,180.0,,,,,,0,
gold,Ultimate Hill Climber,究極のヒルクライマー,,508.0,,,,,,0,
yellow,Nosedive,急降下,,217.0,239.0,195.0,174.0,152.0,End,0,
yellow,Surprise Attack,急襲,,217.0,239.0,195.0,174.0,152.0,Medium/Long,0,
yellow,Swift Takeoff,急発進,,217.0,239.0,195.0,174.0,152.0,Sprint,0,
yellow,Rapid Ascent,急浮上,,217.0,,,,,Dirt,0,
ius,暁霞を拓き、朝を掴む,,,180.0,198.0,162.0,144.0,126.0,Pace,0,
gold,Daring Strike,強攻策,Daring Strike,508.0,559.0,457.0,406.0,356.0,End,0,
gold,Proof of Strength,強者の証,,508.0,615.0,411.0,325.0,249.0,Medium/Pace,0,
green,Kyoto Racecourse ○,京都レース場○,Kyoto Racecourse ○,129.0,,,,,,0,
green,Kyoto Racecourse ◎,京都レース場◎,Kyoto Racecourse ◎,174.0,,,,,,0,
gold,Corner Connoisseur,曲線のソムリエ,Corner Connoisseur,508.0,,,,,,0,
yellow,Giant Stride,巨歩,,217.0,,,,,,0,
gold,Killer Tunes,キラーチューン,Killer Tunes,508.0,559.0,457.0,406.0,356.0,Medium,0,
ius,SPARKLY☆STARDOM,キラキラ☆STARDOM,SPARKLY☆STARDOM,180.0,,,,,,0,
yellow,Glittering Star,綺羅星,Glittering Star,263.0,,,,,,0,
ius,Lights of Vaudeville,煌星のヴォードヴィル,Lights of Vaudeville,180.0,,,,,,0,
ius,"The Sea Glitters, but You're Dazzling",きらめくは海、まばゆきは君,,180.0,,,,,,0,
yellow,Striking Back,切り返し,,217.0,239.0,195.0,174.0,152.0,Medium/Long,0,
yellow,Switch Over Pro,切り替え上手,,217.0,239.0,195.0,174.0,152.0,Medium,0,
yellow,Cleave,切り崩し,,217.0,239.0,195.0,174.0,152.0,End,0,
yellow,Spearhead,切り込み隊長,,217.0,239.0,195.0,174.0,152.0,Front,0,
gold,Trackblazer,切り開く者,Trackblazer,508.0,559.0,457.0,406.0,356.0,Medium,0,
gold,Wonderkid,麒麟児,,508.0,559.0,457.0,406.0,356.0,Medium/Long,0,
yellow,Witful,切れ味,,217.0,239.0,195.0,174.0,152.0,End,0,
yellow,Razor-Sharp Stride,キレる脚,,217.0,239.0,195.0,174.0,152.0,Late,0,
gold,Crowning Beauty,錦上添花,,334.0,367.0,301.0,267.0,234.0,Medium,0,
yellow,Steadfast,食い下がり,Steadfast,217.0,239.0,195.0,174.0,152.0,Medium,0,
gold,Gourmand,食いしん坊,Gourmand,508.0,559.0,457.0,406.0,356.0,Pace,0,
gold,Cooldown,クールダウン,Cooldown,508.0,559.0,457.0,406.0,356.0,Long,0,
